Line#,PosX,PosY,PosZ
0,-0.1437556,0.261955,-0.2715635
1,0.04896304,0.4306801,-0.05592087
2,-0.04332401,0.4403505,0.03691219
3,0.09912061,0.4392987,-0.08292378
4,0.1215766,0.407292,-0.176982
5,0.02024066,0.2290718,-0.2386359
6,-0.1734319,0.3374367,-0.0601794
7,-0.05681384,0.3434308,-0.2286696
8,-0.06768738,0.2669619,-0.2400629
9,-0.1658895,0.3222896,0.007316754
10,-0.05246002,0.3344581,-0.04914271
11,-0.1671017,0.2492214,-0.09026576
12,0.1005532,0.3204869,-0.1522513
13,-0.04054541,0.2374208,-0.06913297
14,0.1400477,0.2547007,-0.04983145
15,-0.128728,0.2310673,0.03534581
16,-0.1521152,0.431121,-0.1490416
17,-0.05180713,0.2660478,0.02852451
18,0.04652211,0.4118831,-0.2437162
19,-0.07878779,0.4053772,-0.1751087
20,-0.08322788,0.3292772,-0.1392421
21,-0.07505831,0.4408659,-0.08203135
22,-0.0529619,0.2425555,-0.1680114
23,0.1129308,0.3356524,-0.07565756
24,-0.1520137,0.4341097,-0.05647066
25,0.008208838,0.3541248,-0.09419546
26,0.009329616,0.2418715,-0.05973182
27,0.01809339,0.2739204,-0.1440433
28,-0.1692217,0.2630349,-0.1741797
29,0.04314173,0.2372636,-0.004724213
30,0.02232406,0.4302348,-0.1616341
31,0.1083198,0.3405491,-0.2483055
32,0.141997,0.2335532,-0.1641551
33,0.1144309,0.3505363,0.01261743
34,0.01894972,0.3165682,-0.255204
35,0.1138916,0.2627407,-0.2414065
36,-0.127715,0.3560188,-0.2619622
37,0.009883046,0.3495807,0.03624057
38,-0.03898908,0.4347463,-0.2442449
39,-0.1344062,0.4191966,-0.232677
40,-0.1407929,0.3317581,-0.1631966
41,0.03234407,0.4118881,0.001111633
42,-0.03803754,0.3185524,0.0196267
43,0.1409545,0.4504616,-0.259646
44,0.02386748,0.3229969,-0.1739238
45,-0.1378484,0.442709,0.001257123
46,0.1022703,0.4475755,0.04313622
47,0.09714156,0.2444198,0.01918696
