Line#,PosX,PosY,PosZ
0,0.1432383,0.351376,0.01725069
1,-0.1476293,0.2299941,0.03161621
2,-0.06101294,0.3428189,-0.1843956
3,0.09664635,0.3589346,-0.08592778
4,0.1125145,0.4359166,-0.04792481
5,-0.05780966,0.3488778,0.02448828
6,-0.127634,0.3363068,-0.1602852
7,0.03015987,0.233003,-0.2480233
8,-0.1250257,0.4054379,-0.09181073
9,-0.1713529,0.2465489,-0.2375087
10,-0.1613374,0.4541993,-0.2569439
11,-0.06581319,0.3338833,-0.05857242
12,0.1018942,0.4429337,-0.002759839
13,0.1234396,0.2595989,-0.08797795
14,0.02868373,0.3571362,-0.2529408
15,-0.03921162,0.2518061,-0.1361661
16,0.05210413,0.4454003,-0.1451327
17,-0.13416,0.4477631,-0.1705294
18,0.01089334,0.4394848,0.002769747
19,0.1349638,0.4297695,-0.2584463
20,0.09834766,0.3369611,-0.2327512
21,0.01254406,0.2561291,-0.08441386
22,0.05219115,0.2561006,0.005683789
23,-0.07854314,0.3614333,-0.2367568
24,-0.0708618,0.4103913,-0.2600633
25,0.01323605,0.3540012,-0.05952384
26,-0.1266153,0.4391581,0.01007781
27,0.1113843,0.2475609,-0.2544217
28,0.1100507,0.331953,-0.1581286
29,0.0109511,0.3610209,-0.1512867
30,0.01462809,0.2374532,-0.1684906
31,-0.1369439,0.2570893,-0.05825452
32,-0.1674023,0.2456134,-0.1798742
33,-0.07332622,0.245928,-0.06590606
34,-0.04872885,0.2711792,-0.2425493
35,0.0177253,0.438143,-0.2269692
36,-0.1309782,0.3150564,0.0003549616
37,0.01424102,0.3538367,0.005759574
38,-0.03744139,0.4166172,-0.06900012
39,-0.04598513,0.2350085,0.04005259
40,0.1373663,0.2600626,0.005377489
41,0.1203734,0.2673137,-0.1437551
42,-0.05856147,0.4502507,-0.1631345
43,0.05432256,0.4399945,-0.06177395
44,-0.1398762,0.3279111,-0.05443159
45,-0.05417317,0.4144138,0.04396278
46,0.1026796,0.4418609,-0.1625544
47,-0.1485585,0.3409737,-0.260675
