Line#,PosX,PosY,PosZ
0,-0.1440903,0.3224314,-0.1661347
1,0.1401037,0.2370317,-0.2563418
2,0.1326143,0.2478914,-0.1399686
3,0.1258964,0.4527724,-0.07103059
4,-0.1303348,0.2596774,-0.1430633
5,0.1225688,0.3308086,-0.0815891
6,0.00729459,0.4197287,-0.2552877
7,-0.1644282,0.4374266,-0.1724342
8,-0.05251677,0.2286558,-0.05007265
9,-0.04339904,0.3336293,-0.2371476
10,-0.1635678,0.4175461,-0.04783894
11,-0.1461394,0.2386559,0.0417694
12,-0.1284905,0.2477545,-0.2550717
13,0.1302509,0.4414979,-0.1428717
14,-0.05871976,0.4190962,-0.06697311
15,0.02877408,0.4095572,-0.08187994
16,-0.1711491,0.3521317,0.007799307
17,0.05236264,0.3519526,-0.2339322
18,-0.1427704,0.3162844,-0.05293097
19,0.1314788,0.4453158,-0.2674013
20,-0.05099703,0.2666574,-0.1411846
21,-0.1419031,0.3173706,-0.2563481
22,0.02190966,0.3344111,-0.06863408
23,0.04164882,0.2309549,0.00619442
24,0.105766,0.3318588,-0.2522816
25,0.04630658,0.327549,-0.1721752
26,0.03300012,0.420541,-0.1438712
27,-0.1681642,0.418503,0.02243536
28,0.09723628,0.3491941,-0.1818925
29,0.1161447,0.2532962,-0.04647689
30,-0.07891324,0.4540772,-0.2722488
31,0.01832046,0.335061,0.03854473
32,-0.06774013,0.3596792,0.04293539
33,0.01963618,0.234784,-0.184121
34,-0.05463785,0.445822,0.01732675
35,0.05085221,0.4539218,0.01160467
36,-0.07953925,0.3575406,-0.1570335
37,0.1200383,0.3181269,0.04324133
38,0.1213543,0.4064693,0.02538061
39,-0.04212098,0.3321548,-0.06041152
40,-0.07232094,0.2555659,0.0370945
41,-0.05426119,0.4069063,-0.1661764
42,0.1126935,0.2465753,0.003954568
43,-0.138015,0.2575635,-0.06109229
44,-0.1299078,0.4238824,-0.2590235
45,0.04647996,0.2536583,-0.08976097
46,0.006355584,0.2485927,-0.2607551
47,-0.06879893,0.268254,-0.2601648
