Line#,PosX,PosY,PosZ
0,-0.04927487,0.3188675,-0.1561114
1,0.1082421,0.4492039,-0.245785
2,0.02339176,0.3166673,0.0282253
3,-0.05165597,0.4168754,0.02330217
4,0.1383869,0.449708,0.009917622
5,0.09628434,0.318379,0.003245167
6,0.02775571,0.3349704,-0.1559058
7,0.03383773,0.4541089,-0.2508106
8,0.04127926,0.2538561,0.02669843
9,0.04890987,0.2430044,-0.1775032
10,-0.06192896,0.2447047,-0.05789738
11,-0.05833342,0.2608914,-0.1365848
12,-0.1417661,0.4074194,-0.06428605
13,-0.1348285,0.2649785,-0.2491922
14,-0.125244,0.2744181,-0.08099978
15,0.01588671,0.4460046,-0.1589749
16,-0.1348269,0.4215874,-0.1562688
17,0.02818934,0.4307402,0.01658347
18,-0.1397746,0.4449353,0.04095329
19,0.128031,0.3608937,-0.2661514
20,0.02531422,0.3521542,-0.04642509
21,-0.1531087,0.3365959,-0.1839808
22,-0.0507774,0.3379026,-0.07307827
23,-0.03649119,0.2287332,-0.00480156
24,0.1313318,0.228041,-0.1435982
25,-0.03999437,0.2330249,-0.2712494
26,-0.04714437,0.3284186,0.01208213
27,-0.07240725,0.4106337,-0.136099
28,0.1011986,0.2367854,-0.06532961
29,0.05269014,0.2691193,-0.2286192
30,0.1209603,0.4515466,-0.05192135
31,0.01693556,0.2260033,-0.06547971
32,0.1293058,0.4425892,-0.1539733
33,-0.1654978,0.3446446,-0.08847166
34,-0.1729983,0.3446342,0.01000249
35,-0.0439954,0.4501171,-0.0718219
36,0.1265749,0.253907,-0.2672783
37,0.1284987,0.3377771,-0.08407107
38,0.09545916,0.3455179,-0.1711429
39,0.1148932,0.2450325,0.0410794
40,-0.1520287,0.2479802,0.04348368
41,-0.1321588,0.4323041,-0.2575025
42,-0.05553267,0.3648605,-0.2456973
43,-0.1484193,0.3538273,-0.2397149
44,0.04016455,0.3365686,-0.2592671
45,-0.06547498,0.4271694,-0.2545269
46,-0.1632987,0.2688895,-0.1534269
47,0.006502665,0.4370171,-0.0764079
