Line#,PosX,PosY,PosZ
0,0.04283888,0.421351,-0.002148167
1,0.1123547,0.338197,-0.08133101
2,-0.08445433,0.249231,-0.06217917
3,0.04485902,0.3566447,-0.07704376
4,-0.07813037,0.3168501,-0.2251883
5,-0.0605292,0.3189751,0.02050592
6,-0.1425822,0.2689024,-0.2322794
7,-0.04308182,0.4091365,-0.252908
8,0.03683628,0.3353378,-0.1484852
9,0.12401,0.3170535,-0.1615737
10,-0.03952312,0.2659425,-0.0008430843
11,-0.1482487,0.3558234,-0.1682444
12,0.03144141,0.3329487,-0.2259589
13,-0.1309527,0.3356299,-0.04915169
14,-0.07403487,0.4448432,0.02555537
15,-0.1252391,0.2675834,0.03652294
16,-0.06613412,0.4320636,-0.06620646
17,0.09606858,0.324754,-0.227298
18,0.03071202,0.2600884,-0.09478067
19,-0.1336904,0.4330054,0.03927275
20,-0.1436722,0.4146764,-0.08517396
21,0.04176158,0.3282622,0.04049288
22,-0.07907473,0.4082838,-0.182682
23,0.1376121,0.4166019,0.005249124
24,-0.154358,0.269462,-0.1668928
25,0.01061981,0.246723,-0.2633278
26,0.04710449,0.4227884,-0.04798462
27,-0.1428041,0.4405006,-0.1366388
28,-0.04709391,0.2422746,-0.2686844
29,0.1143209,0.3185326,0.007033559
30,0.0515446,0.2411137,0.04221671
31,-0.1644555,0.4127686,-0.2489629
32,-0.06459552,0.2725784,-0.1410368
33,0.1359042,0.2720729,-0.1446871
34,0.03297773,0.2640128,-0.1397061
35,0.1193778,0.4093005,-0.07594815
36,0.05085064,0.4546054,-0.1760576
37,-0.1374853,0.2647544,-0.05964242
38,0.1026156,0.4193433,-0.177954
39,0.01077034,0.4513213,-0.249878
40,0.09539411,0.4123316,-0.2553309
41,0.119716,0.2627267,-0.07300187
42,-0.07855768,0.3366289,-0.05576089
43,-0.06755193,0.3484774,-0.1839385
44,0.1034494,0.2330551,0.01164722
45,-0.1584484,0.3234948,0.02199018
46,-0.1280903,0.3462051,-0.2544068
47,0.1003591,0.2521197,-0.2516655
