Line#,PosX,PosY,PosZ
0,0.1080431,0.2678142,-0.1447382
1,-0.1563504,0.4276085,-0.2373306
2,0.109975,0.4277873,-0.2486402
3,0.1361641,0.3465984,-0.1823331
4,0.02196195,0.4523446,-0.1595905
5,0.1028868,0.4170331,-0.1364059
6,-0.05445743,0.2403902,-0.1842234
7,-0.04774022,0.3449742,-0.04740164
8,-0.1340757,0.2409058,-0.2556613
9,-0.1363313,0.3439436,-0.2597253
10,-0.07461659,0.4533936,-0.2650732
11,-0.1519922,0.3536354,0.04445234
12,0.03454627,0.2576731,-0.05245318
13,0.04481838,0.4336223,-0.06691872
14,0.03388314,0.3294007,0.0006104795
15,0.03861655,0.3594777,-0.05495225
16,-0.1512624,0.31979,-0.156124
17,-0.1593505,0.4082257,0.03449699
18,-0.06797883,0.4258555,-0.1458118
19,0.09624843,0.3641675,-0.08458395
20,-0.04600049,0.4429281,0.01652191
21,-0.1365323,0.3290085,-0.05615779
22,0.006199775,0.2447033,-0.2435906
23,-0.149546,0.2341811,-0.1500906
24,0.1201509,0.3189267,-0.2418298
25,-0.1319669,0.4489674,-0.1425645
26,-0.05221607,0.2480823,-0.2589431
27,0.09871028,0.4216109,-0.08565621
28,0.02166238,0.3282968,-0.2557493
29,-0.04940307,0.2683113,0.01086388
30,-0.1410622,0.2430579,0.03843368
31,-0.06174668,0.267715,-0.07280299
32,0.01249745,0.4526731,-0.2724423
33,0.1120365,0.4172557,0.02419744
34,-0.162852,0.2416533,-0.05236246
35,0.1007141,0.2336266,-0.2703225
36,0.01799882,0.2427471,0.01330497
37,-0.07075009,0.4422712,-0.04605307
38,0.05132892,0.4092518,0.03013437
39,0.03385528,0.3583472,-0.1635733
40,-0.05513024,0.3629995,-0.2373817
41,0.1004768,0.2389094,-0.06749731
42,0.1388932,0.2277264,0.03688975
43,-0.1681717,0.4145295,-0.08330332
44,-0.03614105,0.364423,-0.1849447
45,-0.08489208,0.3342648,0.02543323
46,0.04416087,0.2387378,-0.1711917
47,0.1443961,0.350752,0.02673505
