Line#,PosX,PosY,PosZ
0,0.02243747,0.338336,0.0124628
1,0.1407106,0.2448046,-0.2498644
2,0.005093012,0.3290219,-0.1706517
3,0.1058932,0.3285999,-0.2740366
4,0.1084908,0.3387845,-0.0919686
5,-0.08104133,0.432687,-0.0911605
6,0.1307409,0.4325284,-0.1462266
7,0.1371439,0.4428831,-0.2632653
8,-0.1456681,0.2578759,-0.2745048
9,-0.042838,0.2271311,0.01399562
10,-0.1348931,0.3180137,-0.236978
11,-0.0581312,0.2732317,-0.1388916
12,-0.1609642,0.442455,0.01596654
13,-0.1315742,0.4447027,-0.1565477
14,0.03381691,0.4513376,-0.1693666
15,-0.1648248,0.3312799,-0.06719245
16,0.1305354,0.2372063,-0.05115592
17,-0.1312791,0.3624065,-0.003481655
18,0.1005299,0.4451614,0.03825917
19,0.04939327,0.2491708,-0.07814716
20,-0.04493196,0.2250557,-0.2665864
21,-0.0686292,0.3390102,-0.1527529
22,-0.1440716,0.3612013,-0.1669112
23,0.1263924,0.2460961,-0.1542225
24,-0.08009352,0.2646765,-0.07869516
25,0.04089912,0.4331304,0.04147599
26,-0.145646,0.4337784,-0.06634428
27,0.01281867,0.2555618,-0.157224
28,-0.0461521,0.4127377,0.01555951
29,-0.1444109,0.2256176,-0.05238499
30,-0.1494399,0.2367231,0.02852225
31,-0.07881063,0.3468869,-0.05785792
32,-0.1547308,0.4433408,-0.2419019
33,0.04972581,0.4245917,-0.2663631
34,0.006434445,0.2659091,-0.2434714
35,0.1075239,0.243494,0.02331415
36,-0.04631992,0.4303488,-0.1790624
37,0.01154996,0.3484012,-0.2405292
38,0.02989736,0.4162208,-0.07335923
39,0.04405574,0.3636769,-0.08762048
40,-0.1266598,0.2418133,-0.1427703
41,0.1296833,0.4290827,-0.0530761
42,0.01079572,0.2290285,0.01886075
43,-0.07666387,0.3350425,-0.2673556
44,-0.04104933,0.4248151,-0.2743374
45,0.1052872,0.3286895,0.007992905
46,0.115754,0.346647,-0.1522921
47,-0.04048836,0.3597558,-0.0002618768
