Line#,PosX,PosY,PosZ
0,0.1271977,0.2368667,-0.003972612
1,0.03353928,0.4432506,0.007579842
2,0.01602594,0.3466297,0.02144937
3,0.03271129,0.3255101,-0.27363
4,-0.1496842,0.2637628,-0.06229688
5,-0.07309382,0.3152674,-0.1545358
6,0.02936894,0.2705187,-0.09100056
7,0.114476,0.4298599,-0.1735088
8,-0.1452528,0.4514325,0.0162467
9,-0.1626429,0.3263809,-0.2353175
10,-0.08009197,0.414667,-0.04743781
11,0.13451,0.3322586,-0.08067597
12,0.007619332,0.2599852,-0.1764352
13,0.1445264,0.4426281,-0.07730056
14,0.1020932,0.4509812,-0.2528552
15,-0.1586898,0.4440867,-0.144904
16,0.1396772,0.3597314,0.004726239
17,-0.07977688,0.3254217,0.02043601
18,0.00558909,0.4438075,-0.1622206
19,0.04574409,0.4206074,-0.2729168
20,-0.1472106,0.2722205,-0.2385885
21,0.03803812,0.4186946,-0.06298155
22,-0.1325799,0.4114018,-0.2280834
23,-0.1693572,0.3458807,-0.1737504
24,-0.06865427,0.4180444,0.03131424
25,0.1114951,0.3592226,-0.1385644
26,-0.142161,0.3472041,0.03469936
27,0.1017085,0.4519972,0.04354424
28,-0.03538195,0.2455806,-0.1834935
29,-0.07631129,0.3397153,-0.2385466
30,-0.03784866,0.2605292,-0.05705123
31,0.01088716,0.3319052,-0.08762565
32,-0.1665642,0.2555476,0.02301697
33,0.1225074,0.2389651,-0.06281625
34,0.01769981,0.3435604,-0.1729996
35,0.1323292,0.249133,-0.2314801
36,-0.1715327,0.2406069,-0.1576878
37,0.1358073,0.3290046,-0.2552253
38,-0.1422312,0.410314,-0.06046286
39,-0.04000874,0.2597157,-0.2255404
40,0.01322645,0.2519005,0.009974032
41,0.03241723,0.2639866,-0.2687429
42,-0.06909873,0.2580205,0.03270461
43,-0.149654,0.3239715,-0.08104464
44,0.1091341,0.2407146,-0.1484456
45,-0.04134168,0.4285068,-0.2620778
46,-0.0748618,0.432083,-0.1638879
47,-0.06216569,0.3198837,-0.06425283
