Line#,PosX,PosY,PosZ
0,0.02327141,0.2305366,0.03153806
1,-0.125528,0.3271111,-0.08327257
2,0.130212,0.3489882,0.02547745
3,0.02384185,0.2401223,-0.04794729
4,-0.04374204,0.429392,0.04387738
5,-0.1658469,0.257248,-0.1408387
6,-0.08185794,0.4343892,-0.1732948
7,0.1433417,0.3519571,-0.06998589
8,-0.1528241,0.3198468,0.01876269
9,-0.145026,0.433791,-0.0536533
10,0.1007271,0.3597106,-0.164283
11,0.01712488,0.3210156,-0.1776746
12,-0.04731615,0.2333145,-0.08682226
13,-0.1673955,0.2580839,-0.2365184
14,-0.06108103,0.4217889,-0.0548097
15,0.01080801,0.2324842,-0.1842578
16,-0.03992502,0.4428423,-0.2317001
17,-0.08314727,0.2674698,-0.1765972
18,0.09774188,0.230695,0.01036409
19,-0.150735,0.320595,-0.1671249
20,0.02619392,0.3592527,-0.2362654
21,-0.05794311,0.2265605,-0.2534409
22,0.04432632,0.4111874,-0.2707556
23,0.02179027,0.4187438,-0.1615346
24,0.09933475,0.2283694,-0.2581744
25,0.01111153,0.4110058,-0.07403682
26,-0.05483795,0.354236,-0.05058496
27,-0.1490838,0.4405309,-0.2447319
28,0.1002065,0.2669377,-0.1586944
29,0.01692939,0.4057801,0.04150141
30,-0.06081045,0.2696815,0.01422706
31,-0.07207983,0.3261561,-0.1536694
32,-0.173012,0.2343696,7.697305e-05
33,0.1421295,0.4142264,-0.07478012
34,0.1044979,0.260723,-0.04740575
35,-0.1358634,0.3306309,-0.2266592
36,0.03978051,0.3446412,0.03109474
37,-0.1486724,0.4141985,0.003208984
38,0.1437854,0.4430692,-0.1559196
39,-0.07837513,0.349981,-0.2718056
40,-0.1401135,0.4448207,-0.1775043
41,-0.05042445,0.3590498,0.02035693
42,-0.1664979,0.2364854,-0.08914605
43,0.1377723,0.340856,-0.2596182
44,0.01438714,0.3497913,-0.08570262
45,0.1056886,0.4165639,-0.2606738
46,0.03522968,0.2707097,-0.2409046
47,0.1108409,0.4392613,0.01377732
