Line#,PosX,PosY,PosZ
0,-0.1335676,0.40791,-0.2380023
1,0.04066179,0.4280687,0.00220806
2,-0.1674273,0.2365336,-0.2409603
3,0.04891771,0.3159658,-0.1530457
4,0.04349372,0.4217167,-0.2720801
5,-0.1719266,0.2284999,-0.1589997
6,-0.1558278,0.3155576,-0.1391486
7,0.1367355,0.4522614,-0.04515765
8,0.1025932,0.33351,-0.05992097
9,-0.06206718,0.3623575,-0.05468652
10,-0.1435736,0.3338171,0.01733198
11,0.05058663,0.3557323,-0.2628644
12,-0.1338771,0.3624365,-0.09010532
13,0.1373698,0.3487269,-0.1693102
14,0.131402,0.4490193,0.003996809
15,0.1287532,0.243176,-0.1583105
16,0.01482706,0.2739705,-0.1362963
17,0.0218529,0.3389258,-0.08175348
18,0.1361892,0.2388396,0.0158787
19,-0.1587731,0.2465508,-0.08575038
20,-0.1372341,0.4387715,-0.06029296
21,0.09926396,0.4205137,-0.2671201
22,-0.06874848,0.4336025,-0.2531434
23,0.02830862,0.2445016,-0.0714159
24,-0.03785735,0.2694397,-0.07842787
25,-0.1303307,0.4107085,-0.1662172
26,-0.06641527,0.4511799,-0.1577614
27,0.01856659,0.243313,-0.2680975
28,-0.04496814,0.3156261,-0.2739677
29,0.1083454,0.2561215,-0.05252811
30,-0.06622684,0.3341285,-0.1727056
31,0.1112617,0.3468494,-0.2407111
32,-0.05944994,0.2636777,-0.2635805
33,-0.07212088,0.4198634,0.04172267
34,0.04462793,0.4399387,-0.1586824
35,0.1020264,0.2723985,-0.2256281
36,0.005857829,0.3419027,0.0428493
37,-0.137656,0.4390711,-0.002807003
38,-0.07812314,0.3638948,0.04156784
39,0.1031412,0.3482409,0.01151055
40,0.04797488,0.4260185,-0.05608059
41,-0.08159202,0.227547,-0.184596
42,-0.161878,0.2488362,0.02016327
43,0.1385169,0.4207236,-0.1747496
44,0.02128903,0.2507855,0.03279284
45,-0.07361411,0.4409727,-0.08694244
46,-0.07567547,0.2342283,0.006167435
47,-0.1336658,0.3191555,-0.2355338
