Line#,PosX,PosY,PosZ
0,-0.1617194,0.4541376,0.01033926
1,-0.08462859,0.34083,-0.08136145
2,-0.05495724,0.2554358,-0.2643781
3,0.141778,0.2654716,-0.2503946
4,0.01402339,0.3621698,-0.2537557
5,0.01126256,0.4292317,-0.2638769
6,0.1408102,0.3325111,0.004634697
7,0.04912923,0.3530682,-0.07505387
8,0.1189738,0.3259071,-0.08402444
9,0.04865606,0.4314411,-0.1849293
10,-0.1483468,0.3452072,-0.155865
11,-0.04949872,0.4193207,-0.05175382
12,0.1201955,0.3183515,-0.1653468
13,-0.03768148,0.333402,-0.1378055
14,-0.06203198,0.3476244,-0.2586409
15,-0.0681169,0.2443738,-0.06281951
16,-0.151881,0.4316298,-0.05560617
17,-0.1300073,0.3231773,-0.2670464
18,-0.1418585,0.4473238,-0.1848622
19,0.04802569,0.4059349,-0.0542554
20,-0.1558142,0.2595502,-0.002057054
21,0.0245306,0.2659383,0.03720042
22,0.09509087,0.2272392,0.007058728
23,-0.1547509,0.4478689,-0.2279016
24,-0.04732234,0.2551808,0.02158141
25,0.04094833,0.2532977,-0.05377673
26,0.1157726,0.3500812,-0.2639077
27,-0.1526708,0.2409346,-0.1406786
28,0.1186422,0.4485848,0.02977837
29,0.1060068,0.2538177,-0.1705485
30,0.03103329,0.3182822,-0.1393246
31,0.03941284,0.3530774,0.01525044
32,-0.1742209,0.2542045,-0.08703157
33,0.1038206,0.451609,-0.04951759
34,-0.1378811,0.3299263,-0.001223096
35,0.04373377,0.2438276,-0.263568
36,0.1341706,0.4065337,-0.1627952
37,0.1055617,0.4366841,-0.2723217
38,0.0171442,0.4207286,0.04328663
39,-0.04111533,0.4079684,-0.2619579
40,-0.08378504,0.3445977,0.005248175
41,0.1110533,0.2380662,-0.0863006
42,-0.1615014,0.3345239,-0.08032997
43,-0.05122297,0.4279245,0.04298178
44,-0.06985854,0.4495748,-0.1600901
45,-0.1551768,0.2670243,-0.2573332
46,0.02272669,0.2400159,-0.1515117
47,-0.04070524,0.2402329,-0.177407
